year,country,iso3,region,co2_emissions_mt,population_millions,co2_per_capita_t,co2_intensity_kg_per_gdp_usd,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct,clean_baseload_pct,fossil_ratio,coal_to_gas_ratio,renewables_plus_nuclear_pct
2016,Brazil,BRA,LatAm,469.1,207.7,2.26,0.17,5.68,42.76,9.31,1.19,30.19,0.04,4.1,6.72,41.06,57.75,31.38,1.4061,0.6094,42.25
2017,Brazil,BRA,LatAm,465.1,209.2,2.22,0.16,5.43,41.82,9.38,0.99,30.38,0.03,5.54,6.43,42.38,56.63,31.37,1.3359,0.5783,43.37
2018,Brazil,BRA,LatAm,436.2,210.6,2.07,0.15,5.05,40.54,9.83,1.12,30.56,0.41,6.63,5.86,43.46,55.42,31.68,1.2749,0.5132,44.58
2019,Brazil,BRA,LatAm,446.8,212.1,2.11,0.15,5.2,39.03,9.55,1.08,30.79,0.84,7.8,5.72,45.14,53.78,31.87,1.1911,0.5439,46.22
2020,Brazil,BRA,LatAm,428.0,213.5,2.0,0.13,4.84,37.94,9.77,1.21,30.99,0.93,9.26,5.05,46.23,52.55,32.2,1.1365,0.4949,47.44
2021,Brazil,BRA,LatAm,444.8,215.0,2.07,0.13,4.58,37.98,9.99,1.19,30.58,1.47,9.8,4.4,46.26,52.55,31.77,1.1357,0.458,47.45
2022,Brazil,BRA,LatAm,441.1,216.4,2.04,0.13,4.95,37.88,9.45,1.23,30.29,2.19,10.12,3.89,46.5,52.27,31.52,1.1238,0.5233,47.73
2023,Brazil,BRA,LatAm,460.0,217.9,2.11,0.13,4.45,38.2,9.07,0.82,30.27,2.37,11.16,3.66,47.47,51.71,31.09,1.0891,0.4901,48.29
2024,Brazil,BRA,LatAm,471.7,219.3,2.15,0.13,3.94,38.04,8.84,1.01,29.97,2.97,11.86,3.37,48.17,50.82,30.98,1.0548,0.4452,49.18
2025,Brazil,BRA,LatAm,483.2,220.8,2.19,0.13,3.92,37.2,8.53,0.81,29.87,3.85,12.88,2.94,49.53,49.66,30.68,1.0024,0.459,50.34
2026,Brazil,BRA,LatAm,468.6,222.3,2.11,0.12,2.82,37.39,7.38,0.92,30.12,3.88,14.23,3.25,51.49,47.59,31.04,0.9241,0.3816,52.41
2000,Canada,CAN,North America,577.0,34.0,16.97,3.39,22.84,39.27,24.81,7.52,2.0,0.47,0.0,3.09,5.55,86.93,9.52,15.6349,0.9202,13.07
2001,Canada,CAN,North America,555.1,34.3,16.2,2.95,19.57,38.13,23.54,8.02,4.63,1.9,0.0,4.21,10.75,81.23,12.65,7.5493,0.831,18.77
2002,Canada,CAN,North America,568.5,34.5,16.46,2.74,20.44,37.26,26.3,9.46,3.69,0.0,1.2,1.64,6.53,84.01,13.15,12.8456,0.7769,15.99
2003,Canada,CAN,North America,570.7,34.8,16.4,2.52,19.92,37.02,26.62,7.91,2.9,0.53,0.73,4.37,8.52,83.56,10.81,9.796,0.748,16.43
2004,Canada,CAN,North America,571.3,35.1,16.29,2.33,19.89,36.6,26.8,8.78,2.43,0.86,2.07,2.58,7.94,83.28,11.21,10.4755,0.7419,16.72
2005,Canada,CAN,North America,573.4,35.3,16.23,2.16,21.12,35.51,26.58,7.05,5.19,0.65,0.65,3.25,9.74,83.21,12.24,8.5344,0.7943,16.79
2006,Canada,CAN,North America,574.6,35.6,16.14,2.02,19.15,36.83,27.58,4.54,3.1,1.42,2.46,4.92,11.91,83.56,7.64,7.0101,0.6941,16.45
2007,Canada,CAN,North America,588.5,35.9,16.4,1.93,18.09,37.29,26.66,8.79,2.43,0.43,1.43,4.87,9.17,82.04,11.22,8.9368,0.6783,17.96
2008,Canada,CAN,North America,585.5,36.1,16.2,1.8,17.45,36.76,26.68,8.83,2.29,2.02,2.01,3.95,10.28,80.89,11.12,7.861,0.6538,19.11
2009,Canada,CAN,North America,568.8,36.4,15.62,1.64,17.43,35.23,29.38,9.74,2.42,0.24,2.58,2.98,8.22,82.03,12.16,9.9672,0.5931,17.96
2010,Canada,CAN,North America,586.9,36.7,16.0,1.6,16.51,36.3,28.43,7.74,2.9,3.78,2.34,2.0,11.03,81.23,10.64,7.3578,0.5805,18.77
2011,Canada,CAN,North America,587.8,36.9,15.91,1.52,15.26,36.51,28.82,6.6,3.73,3.31,2.23,3.54,12.8,80.6,10.33,6.292,0.5293,19.4
2012,Canada,CAN,North America,582.7,37.2,15.66,1.42,15.93,36.31,30.62,5.47,2.8,3.33,2.39,3.15,11.67,82.86,8.27,7.0942,0.5201,17.14
2013,Canada,CAN,North America,589.8,37.5,15.74,1.37,15.75,35.09,31.52,9.13,2.88,2.8,0.15,2.67,8.51,82.36,12.01,9.6667,0.4995,17.64
2014,Canada,CAN,North America,581.6,37.8,15.41,1.28,12.65,33.77,29.48,8.39,4.24,3.09,5.32,3.05,15.7,75.9,12.63,4.8313,0.429,24.09
2015,Canada,CAN,North America,581.7,38.0,15.3,1.22,13.07,35.21,31.5,8.9,2.13,3.28,3.42,2.49,11.31,79.78,11.03,7.0477,0.4148,20.21
2016,Canada,CAN,North America,573.0,38.3,14.97,1.15,14.26,35.12,32.47,7.71,4.22,2.34,2.31,1.56,10.44,81.85,11.93,7.8325,0.439,18.15
2017,Canada,CAN,North America,546.9,38.6,14.19,1.05,12.92,35.46,31.1,7.56,2.8,4.52,3.46,2.17,12.95,79.49,10.36,6.1335,0.4153,20.51
2018,Canada,CAN,North America,555.3,38.8,14.3,1.02,10.89,33.05,32.88,8.04,2.24,5.35,3.54,4.01,15.15,76.81,10.28,5.0666,0.3311,23.19
2019,Canada,CAN,North America,542.5,39.1,13.88,0.96,12.67,32.38,29.63,9.9,3.26,3.91,5.14,3.12,15.42,74.69,13.16,4.8406,0.4275,25.32
2020,Canada,CAN,North America,530.4,39.4,13.48,0.9,12.47,32.54,32.83,6.78,3.65,4.57,4.87,2.3,15.38,77.84,10.43,5.0578,0.3797,22.16
2021,Canada,CAN,North America,559.3,39.6,14.11,0.91,10.28,31.78,33.33,9.34,2.4,5.31,5.2,2.36,15.27,75.39,11.74,4.9339,0.3083,24.61
2022,Canada,CAN,North America,559.2,39.9,14.02,0.88,9.2,33.71,34.84,6.25,4.7,5.8,5.38,0.13,16.01,77.74,10.95,4.8527,0.264,22.26
2023,Canada,CAN,North America,562.2,40.2,14.0,0.85,7.71,32.33,35.43,7.22,3.82,4.78,5.3,3.41,17.31,75.47,11.04,4.3574,0.2176,24.53
2024,Canada,CAN,North America,565.2,40.4,13.98,0.82,8.52,30.99,34.77,7.85,3.99,4.73,6.77,2.37,17.87,74.28,11.84,4.1544,0.245,25.72
2025,Canada,CAN,North America,567.5,40.7,13.94,0.8,9.08,32.73,34.5,8.09,2.59,6.81,5.63,0.59,15.61,76.3,10.68,4.8848,0.2631,23.7
2026,Canada,CAN,North America,568.3,41.0,13.87,0.77,6.52,31.25,36.77,7.07,3.41,6.33,6.13,2.52,18.39,74.54,10.48,4.0511,0.1773,25.46
2000,Chile,CHL,LatAm,58.2,16.6,3.51,0.7,4.75,46.52,16.14,0.0,25.0,0.0,0.0,7.59,32.59,67.41,25.0,2.0678,0.2941,32.59
2001,Chile,CHL,LatAm,62.5,16.7,3.74,0.68,4.06,43.52,15.02,2.01,25.14,0.93,0.0,9.31,35.38,62.6,27.15,1.7689,0.2701,37.39
2002,Chile,CHL,LatAm,67.0,16.8,3.98,0.66,4.84,45.49,17.32,0.0,23.81,0.79,0.28,7.47,32.36,67.64,23.81,2.0896,0.2793,32.36
2003,Chile,CHL,LatAm,65.9,17.0,3.88,0.6,3.75,43.96,15.95,2.24,26.92,0.0,0.0,7.18,34.1,63.66,29.16,1.8663,0.235,36.34
2004,Chile,CHL,LatAm,67.9,17.1,3.97,0.57,5.89,43.98,14.7,1.21,24.57,0.0,1.57,8.08,34.21,64.58,25.78,1.8872,0.4004,35.42
2005,Chile,CHL,LatAm,70.8,17.2,4.11,0.55,3.44,44.94,14.49,1.24,25.06,1.87,1.58,7.4,35.9,62.86,26.3,1.7505,0.2372,37.14
2006,Chile,CHL,LatAm,73.8,17.4,4.25,0.53,4.83,43.96,15.2,2.02,24.25,1.81,0.0,7.91,33.98,64.0,26.27,1.8829,0.3176,36.0
2007,Chile,CHL,LatAm,75.1,17.5,4.29,0.51,4.14,44.59,14.41,1.59,22.98,0.98,1.03,10.28,35.27,63.14,24.57,1.7897,0.2871,36.86
2008,Chile,CHL,LatAm,73.5,17.6,4.17,0.46,3.86,45.26,15.4,0.0,25.44,2.02,2.33,5.69,35.47,64.53,25.44,1.8188,0.2505,35.47
2009,Chile,CHL,LatAm,78.7,17.8,4.43,0.47,3.59,42.54,14.64,2.13,23.07,2.89,2.28,8.84,37.09,60.78,25.2,1.6383,0.2451,39.22
2010,Chile,CHL,LatAm,83.1,17.9,4.65,0.46,4.34,42.02,15.84,0.57,25.22,0.48,4.42,7.11,37.23,62.2,25.79,1.6702,0.2738,37.8
2011,Chile,CHL,LatAm,81.8,18.0,4.54,0.43,5.75,42.6,13.7,2.33,25.01,2.06,1.69,6.87,35.63,62.04,27.34,1.7407,0.4194,37.96
2012,Chile,CHL,LatAm,80.6,18.1,4.44,0.4,4.56,41.93,14.18,0.59,25.39,3.84,2.97,6.55,38.74,60.67,25.98,1.5657,0.3214,39.33
2013,Chile,CHL,LatAm,83.4,18.3,4.56,0.4,6.56,40.89,13.91,0.62,24.03,2.51,4.3,7.2,38.03,61.35,24.65,1.6128,0.4713,38.65
2014,Chile,CHL,LatAm,82.4,18.4,4.48,0.37,4.78,41.41,14.01,1.31,24.94,1.51,5.99,6.05,38.49,60.2,26.25,1.5636,0.3409,39.8
2015,Chile,CHL,LatAm,86.6,18.5,4.67,0.37,3.48,40.7,13.18,1.96,27.13,2.31,4.36,6.88,40.68,57.35,29.09,1.4094,0.2638,42.64
2016,Chile,CHL,LatAm,83.8,18.7,4.49,0.35,4.56,42.22,15.21,0.73,24.42,3.54,4.1,5.21,37.27,62.0,25.15,1.6631,0.2996,38.0
2017,Chile,CHL,LatAm,85.1,18.8,4.53,0.34,2.87,42.58,15.49,0.79,25.09,4.44,2.85,5.9,38.27,60.94,25.88,1.592,0.1852,39.06
2018,Chile,CHL,LatAm,83.9,18.9,4.43,0.32,5.66,42.01,13.23,1.12,26.13,0.92,5.04,5.88,37.98,60.9,27.25,1.6031,0.4275,39.1
2019,Chile,CHL,LatAm,84.3,19.1,4.42,0.31,2.0,43.72,14.91,1.03,26.01,2.78,3.86,5.68,38.34,60.63,27.04,1.581,0.134,39.37
2020,Chile,CHL,LatAm,86.9,19.2,4.53,0.3,4.3,41.22,14.1,0.0,24.52,4.56,5.87,5.42,40.38,59.62,24.52,1.4761,0.3047,40.38
2021,Chile,CHL,LatAm,86.4,19.3,4.47,0.29,0.8,41.67,14.18,0.1,25.43,5.02,5.81,6.99,43.25,56.65,25.53,1.3095,0.0564,43.35
2022,Chile,CHL,LatAm,86.8,19.4,4.46,0.28,1.85,41.51,12.53,0.59,24.57,5.65,6.5,6.8,43.53,55.89,25.16,1.2836,0.1475,44.12
2023,Chile,CHL,LatAm,87.2,19.6,4.45,0.27,2.82,39.79,13.14,1.27,26.97,4.86,5.85,5.3,42.98,55.74,28.24,1.2966,0.2144,44.25
2024,Chile,CHL,LatAm,87.5,19.7,4.44,0.26,3.0,40.79,14.72,1.21,24.15,4.73,6.69,4.71,40.27,58.52,25.36,1.4528,0.2037,41.48
2025,Chile,CHL,LatAm,87.3,19.8,4.4,0.25,2.09,38.57,13.15,1.82,24.93,4.99,6.63,7.82,44.36,53.81,26.75,1.2128,0.1588,46.18
2026,Chile,CHL,LatAm,88.1,20.0,4.41,0.25,3.23,39.23,13.83,2.57,23.9,4.28,8.17,4.77,41.13,56.3,26.47,1.3685,0.2334,43.7
2000,China,CHN,Asia,3535.5,1198.5,2.95,0.59,68.0,21.98,2.78,0.87,6.36,0.01,0.0,0.0,6.37,92.75,7.23,14.5376,24.3728,7.24
2001,China,CHN,Asia,4049.2,1207.9,3.35,0.61,67.64,21.35,3.36,0.97,6.46,0.0,0.04,0.17,6.68,92.36,7.43,13.8057,20.0712,7.65
2002,China,CHN,Asia,4601.0,1217.4,3.78,0.63,67.56,21.21,3.19,1.3,6.38,0.0,0.35,0.03,6.76,91.95,7.68,13.582,21.1125,8.06
2003,China,CHN,Asia,5121.6,1226.8,4.17,0.64,67.69,20.71,3.24,1.3,6.33,0.07,0.33,0.34,7.06,91.64,7.63,12.9618,20.8277,8.36
2004,China,CHN,Asia,5553.3,1236.3,4.49,0.64,67.76,20.44,3.48,1.02,6.57,0.02,0.2,0.5,7.29,91.68,7.59,12.5589,19.4155,8.31
2005,China,CHN,Asia,6239.1,1245.7,5.01,0.67,68.31,19.85,3.38,1.28,6.61,0.11,0.18,0.26,7.17,91.55,7.89,12.7507,20.1504,8.45
2006,China,CHN,Asia,6590.0,1255.2,5.25,0.66,68.25,19.37,3.61,1.05,6.49,0.24,0.55,0.43,7.72,91.23,7.54,11.8021,18.8536,8.77
2007,China,CHN,Asia,7187.4,1264.6,5.68,0.67,68.07,19.19,3.68,0.75,6.78,0.1,0.86,0.57,8.3,90.95,7.53,10.9446,18.4472,9.05
2008,China,CHN,Asia,7699.7,1274.1,6.04,0.67,69.45,18.99,3.86,0.81,6.5,0.0,0.39,0.0,6.89,92.3,7.31,13.3768,17.9457,7.7
2009,China,CHN,Asia,8301.4,1283.5,6.47,0.68,68.82,18.36,3.86,0.87,6.83,0.43,0.58,0.25,8.1,91.03,7.7,11.2244,17.7829,8.97
2010,China,CHN,Asia,8500.9,1293.0,6.57,0.66,69.29,18.07,3.86,0.85,7.23,0.02,0.28,0.39,7.93,91.22,8.08,11.4887,17.9044,8.78
2011,China,CHN,Asia,9160.8,1302.4,7.03,0.67,67.44,17.45,4.35,1.16,7.23,0.72,1.04,0.6,9.59,89.24,8.39,9.2958,15.4679,10.75
2012,China,CHN,Asia,9205.6,1311.9,7.02,0.64,67.02,18.01,4.79,1.19,7.23,0.48,0.96,0.32,8.99,89.83,8.42,9.9811,13.9625,10.18
2013,China,CHN,Asia,9734.9,1321.3,7.37,0.64,66.72,18.09,5.35,0.99,7.31,0.35,1.19,0.0,8.85,90.17,8.3,10.1772,12.4478,9.84
2014,China,CHN,Asia,9749.6,1330.8,7.33,0.61,64.38,17.85,5.75,1.14,7.93,0.93,1.72,0.3,10.88,87.98,9.07,8.079,11.1771,12.02
2015,China,CHN,Asia,10072.6,1340.2,7.52,0.6,63.88,17.99,6.22,0.53,7.9,0.93,2.22,0.31,11.37,88.1,8.43,7.7417,10.2536,11.9
2016,China,CHN,Asia,10490.8,1349.7,7.77,0.6,62.66,18.59,6.2,0.98,8.0,1.34,2.0,0.23,11.57,87.45,8.98,7.5518,10.0902,12.55
2017,China,CHN,Asia,10273.1,1359.1,7.56,0.56,61.2,18.57,6.7,1.39,7.98,2.13,2.03,0.01,12.15,86.47,9.37,7.111,9.1207,13.54
2018,China,CHN,Asia,10627.9,1368.5,7.77,0.55,59.64,18.33,7.13,1.57,7.85,2.21,3.02,0.25,13.32,85.11,9.42,6.3848,8.3529,14.89
2019,China,CHN,Asia,10558.2,1378.0,7.66,0.53,57.9,18.64,7.55,1.44,8.04,2.49,3.43,0.51,14.47,84.09,9.48,5.8073,7.6587,15.91
2020,China,CHN,Asia,10736.5,1387.4,7.74,0.52,56.73,18.63,7.86,1.74,7.79,3.22,3.76,0.27,15.04,83.22,9.53,5.5296,7.2084,16.78
2021,China,CHN,Asia,11051.6,1396.9,7.91,0.51,56.32,18.79,8.39,1.65,7.7,3.61,3.24,0.29,14.84,83.51,9.35,5.6236,6.7048,16.49
2022,China,CHN,Asia,11555.1,1406.3,8.22,0.51,55.19,18.47,8.42,1.92,8.12,4.03,3.6,0.26,16.01,82.08,10.04,5.1236,6.5469,17.93
2023,China,CHN,Asia,11658.9,1415.8,8.23,0.5,54.41,18.45,8.84,2.23,7.82,4.36,3.8,0.1,16.07,81.7,10.05,5.0808,6.148,18.3
2024,China,CHN,Asia,11970.7,1425.2,8.4,0.49,53.54,18.17,9.13,1.93,8.09,5.02,4.12,0.0,17.23,80.84,10.02,4.6891,5.8578,19.16
2025,China,CHN,Asia,12058.4,1434.7,8.4,0.48,53.38,17.62,9.7,2.39,7.56,5.32,4.02,0.01,16.91,80.7,9.95,4.7695,5.4974,19.3
2026,China,CHN,Asia,12218.2,1444.1,8.46,0.47,52.06,17.02,9.96,2.98,8.18,5.85,3.95,0.0,17.98,79.04,11.16,4.3936,5.2217,20.96
2000,Colombia,COL,LatAm,61.4,44.2,1.39,0.28,6.13,44.52,14.61,0.91,24.12,0.0,0.7,9.01,33.83,65.26,25.03,1.9285,0.4193,34.74
2001,Colombia,COL,LatAm,63.2,44.5,1.42,0.26,5.86,45.55,15.93,0.0,24.29,0.0,0.14,8.23,32.66,67.34,24.29,2.0612,0.3676,32.66
2002,Colombia,COL,LatAm,63.2,44.9,1.41,0.23,3.97,45.26,14.6,0.0,27.74,0.35,0.0,8.08,36.17,63.83,27.74,1.7642,0.2717,36.17
2003,Colombia,COL,LatAm,65.5,45.2,1.45,0.22,4.43,42.65,15.6,0.89,25.89,0.14,1.19,9.22,36.43,62.68,26.78,1.7201,0.2838,37.32
2004,Colombia,COL,LatAm,69.9,45.6,1.53,0.22,5.8,44.85,14.35,0.98,22.18,0.56,2.14,9.14,34.02,65.0,23.16,1.9101,0.4039,35.0
2005,Colombia,COL,LatAm,70.3,45.9,1.53,0.2,4.53,45.74,14.42,0.28,24.53,0.0,1.97,8.52,35.02,64.69,24.81,1.8467,0.3139,35.3
2006,Colombia,COL,LatAm,71.7,46.3,1.55,0.19,5.23,44.13,14.95,0.0,25.79,1.27,0.52,8.1,35.68,64.32,25.79,1.8022,0.3496,35.68
2007,Colombia,COL,LatAm,74.8,46.6,1.6,0.19,4.24,45.79,13.78,1.34,24.1,0.79,2.18,7.77,34.85,63.81,25.44,1.8305,0.3075,36.19
2008,Colombia,COL,LatAm,77.1,47.0,1.64,0.18,4.34,43.4,14.07,1.87,24.47,1.43,2.49,7.92,36.32,61.81,26.34,1.7013,0.3082,38.19
2009,Colombia,COL,LatAm,77.3,47.3,1.63,0.17,5.02,44.16,15.32,0.68,24.25,0.31,0.76,9.5,34.82,64.5,24.93,1.8519,0.3275,35.5
2010,Colombia,COL,LatAm,80.3,47.7,1.68,0.17,2.04,44.68,13.92,2.21,23.01,1.7,4.18,8.25,37.15,60.64,25.22,1.6319,0.1464,39.36
2011,Colombia,COL,LatAm,83.1,48.0,1.73,0.16,3.96,42.49,13.76,2.48,25.59,2.12,3.37,6.23,37.31,60.21,28.07,1.6133,0.2876,39.79
2012,Colombia,COL,LatAm,82.5,48.4,1.71,0.16,4.54,42.81,15.02,0.43,23.73,1.9,3.92,7.64,37.2,62.38,24.16,1.6764,0.3021,37.63
2013,Colombia,COL,LatAm,86.0,48.7,1.77,0.15,3.99,42.97,14.16,1.05,24.28,3.42,3.75,6.38,37.84,61.12,25.33,1.6148,0.2816,38.89
2014,Colombia,COL,LatAm,86.5,49.1,1.76,0.15,2.36,42.08,13.3,1.04,26.51,3.39,5.22,6.11,41.23,57.73,27.55,1.3999,0.1773,42.27
2015,Colombia,COL,LatAm,88.7,49.4,1.79,0.14,4.76,40.83,14.33,2.93,23.95,2.81,3.04,7.34,37.15,59.92,26.88,1.6125,0.3319,40.08
2016,Colombia,COL,LatAm,87.3,49.8,1.75,0.13,3.24,43.42,12.88,1.57,24.63,3.85,4.34,6.07,38.89,59.54,26.2,1.5306,0.2514,40.46
2017,Colombia,COL,LatAm,86.6,50.1,1.73,0.13,3.3,40.76,15.14,0.0,24.66,3.6,6.17,6.36,40.8,59.2,24.66,1.4506,0.2178,40.8
2018,Colombia,COL,LatAm,83.6,50.5,1.66,0.12,3.55,43.95,12.86,0.0,25.89,2.89,3.41,7.45,39.64,60.36,25.89,1.5223,0.2758,39.64
2019,Colombia,COL,LatAm,81.2,50.8,1.6,0.11,3.81,41.62,13.62,1.08,25.6,3.4,5.58,5.3,39.87,59.05,26.68,1.4807,0.2795,40.95
2020,Colombia,COL,LatAm,80.1,51.2,1.56,0.1,3.49,41.52,15.18,2.29,24.82,3.81,4.85,4.04,37.52,60.2,27.11,1.6041,0.2298,39.81
2021,Colombia,COL,LatAm,81.1,51.5,1.57,0.1,2.02,40.49,13.98,2.39,26.12,3.33,6.42,5.25,41.12,56.49,28.51,1.3735,0.1444,43.51
2022,Colombia,COL,LatAm,85.5,51.9,1.65,0.1,3.89,40.5,15.0,0.49,25.34,2.3,7.03,5.45,40.12,59.39,25.83,1.4799,0.2592,40.61
2023,Colombia,COL,LatAm,89.0,52.2,1.7,0.1,3.22,38.42,13.68,2.35,24.5,5.12,6.21,6.5,42.33,55.32,26.85,1.3066,0.2352,44.68
2024,Colombia,COL,LatAm,89.9,52.6,1.71,0.1,3.19,37.68,13.5,2.48,24.35,4.3,8.32,6.18,43.15,54.37,26.83,1.2597,0.2361,45.63
2025,Colombia,COL,LatAm,90.7,52.9,1.71,0.1,3.89,40.44,14.74,1.76,22.78,5.19,6.56,4.65,39.17,59.07,24.54,1.5077,0.2637,40.93
2026,Colombia,COL,LatAm,92.5,53.3,1.74,0.1,2.92,40.03,12.7,2.34,26.51,2.69,6.69,6.12,42.02,55.65,28.85,1.3241,0.2297,44.36
2000,Czech Republic,CZE,Europe,130.7,9.3,13.98,2.8,14.79,38.19,24.63,11.03,4.28,1.51,0.0,5.56,11.36,77.61,15.31,6.8259,0.6002,22.39
2001,Czech Republic,CZE,Europe,129.4,9.4,13.74,2.5,15.56,39.91,23.49,9.01,6.13,0.0,1.35,4.54,12.03,78.96,15.14,6.5581,0.6621,21.04
2002,Czech Republic,CZE,Europe,129.6,9.5,13.65,2.27,14.73,38.95,25.0,9.35,5.36,0.73,1.26,4.62,11.97,78.68,14.71,6.5676,0.589,21.32
2003,Czech Republic,CZE,Europe,126.0,9.6,13.16,2.03,13.01,39.56,24.15,11.16,4.92,0.6,1.63,4.96,12.11,76.72,16.08,6.33,0.5385,23.27
2004,Czech Republic,CZE,Europe,129.6,9.6,13.44,1.92,12.34,39.42,27.24,10.54,3.47,1.65,1.02,4.31,10.46,79.0,14.01,7.5454,0.4528,21.0
2005,Czech Republic,CZE,Europe,124.3,9.7,12.79,1.71,12.12,40.08,23.4,9.31,5.2,3.17,2.52,4.22,15.1,75.59,14.51,5.0026,0.5177,24.41
2006,Czech Republic,CZE,Europe,122.4,9.8,12.5,1.56,14.09,36.46,25.03,10.39,4.08,2.52,1.78,5.64,14.02,75.59,14.47,5.3877,0.5627,24.41
2007,Czech Republic,CZE,Europe,121.2,9.9,12.28,1.44,10.38,37.87,24.39,11.06,4.92,3.38,3.17,4.83,16.3,72.64,15.98,4.4537,0.4254,27.36
2008,Czech Republic,CZE,Europe,118.8,9.9,11.95,1.33,12.74,38.41,25.53,7.72,4.03,3.85,1.82,5.89,15.6,76.68,11.75,4.9122,0.4988,23.32
2009,Czech Republic,CZE,Europe,123.8,10.0,12.36,1.3,12.64,37.7,23.76,9.74,7.31,1.97,2.75,4.13,16.16,74.1,17.05,4.5826,0.5318,25.9
2010,Czech Republic,CZE,Europe,122.5,10.1,12.14,1.21,12.2,36.19,24.05,11.26,5.5,2.13,2.59,6.08,16.3,72.44,16.76,4.4414,0.5071,27.56
2011,Czech Republic,CZE,Europe,118.1,10.2,11.62,1.11,11.95,38.85,25.72,9.84,4.17,1.48,3.47,4.52,13.64,76.52,14.01,5.6059,0.4644,23.48
2012,Czech Republic,CZE,Europe,112.5,10.2,10.99,1.0,9.75,37.35,24.31,9.66,5.41,3.4,4.93,5.19,18.93,71.41,15.07,3.7703,0.4009,28.59
2013,Czech Republic,CZE,Europe,114.0,10.3,11.06,0.96,9.99,38.24,25.56,8.8,5.3,3.16,5.37,3.58,17.41,73.79,14.1,4.2359,0.3907,26.21
2014,Czech Republic,CZE,Europe,107.4,10.4,10.35,0.86,8.37,35.46,25.58,10.33,5.76,4.61,5.47,4.42,20.26,69.41,16.09,3.4243,0.3271,30.59
2015,Czech Republic,CZE,Europe,104.6,10.5,10.0,0.8,9.68,35.08,24.03,9.52,6.35,4.43,5.63,5.28,21.69,68.78,15.87,3.1696,0.4027,31.21
2016,Czech Republic,CZE,Europe,105.2,10.5,9.99,0.77,8.56,33.52,24.84,9.75,6.7,5.59,5.44,5.61,23.33,66.92,16.45,2.8672,0.3445,33.08
2017,Czech Republic,CZE,Europe,102.0,10.6,9.62,0.71,8.69,35.75,24.25,10.09,4.86,5.24,5.6,5.52,21.22,68.68,14.95,3.235,0.3582,31.31
2018,Czech Republic,CZE,Europe,102.3,10.7,9.58,0.68,8.21,34.56,24.16,9.27,5.6,4.59,7.74,5.88,23.8,66.93,14.87,2.811,0.3397,33.07
2019,Czech Republic,CZE,Europe,97.4,10.8,9.06,0.62,8.69,33.53,23.8,9.82,5.22,5.13,8.39,5.42,24.16,66.02,15.04,2.7315,0.365,33.98
2020,Czech Republic,CZE,Europe,94.4,10.8,8.72,0.58,6.2,34.53,24.25,8.61,4.03,7.38,9.2,5.81,26.42,64.98,12.64,2.4586,0.2556,35.03
2021,Czech Republic,CZE,Europe,94.1,10.9,8.64,0.56,7.87,33.2,24.41,9.87,5.29,6.88,7.01,5.48,24.65,65.48,15.16,2.6553,0.3223,34.52
2022,Czech Republic,CZE,Europe,92.4,11.0,8.42,0.53,7.99,32.98,24.65,10.46,4.34,5.44,9.6,4.54,23.93,65.61,14.8,2.7406,0.324,34.39
2023,Czech Republic,CZE,Europe,94.6,11.0,8.57,0.52,6.15,32.2,26.19,10.82,4.74,5.88,8.47,5.55,24.64,64.54,15.56,2.6183,0.2347,35.46
2024,Czech Republic,CZE,Europe,96.6,11.1,8.69,0.51,5.77,31.7,24.42,10.42,4.8,7.59,7.98,7.32,27.69,61.89,15.22,2.2343,0.2362,38.11
2025,Czech Republic,CZE,Europe,93.3,11.2,8.34,0.48,5.12,32.64,25.67,9.63,5.03,7.72,8.74,5.46,26.94,63.43,14.66,2.3536,0.1994,36.57
2026,Czech Republic,CZE,Europe,90.0,11.3,7.99,0.44,3.21,32.28,24.67,10.18,3.12,6.89,10.89,8.75,29.66,60.16,13.3,2.0276,0.1301,39.84
2000,Denmark,DNK,Europe,55.5,5.1,10.88,2.18,14.54,40.33,24.67,10.99,5.12,0.0,0.0,4.35,9.47,79.53,16.11,8.3892,0.5891,20.46
2001,Denmark,DNK,Europe,55.2,5.1,10.74,1.95,14.35,40.79,24.6,9.54,4.17,0.0,1.08,5.47,10.72,79.75,13.71,7.4324,0.5831,20.26
2002,Denmark,DNK,Europe,54.6,5.2,10.54,1.76,13.66,40.3,24.84,10.69,5.26,0.43,0.0,4.82,10.51,78.79,15.95,7.4895,0.5497,21.2
2003,Denmark,DNK,Europe,53.2,5.2,10.18,1.57,14.78,38.8,25.59,8.97,5.81,1.24,0.0,4.8,11.86,79.17,14.78,6.6698,0.5773,20.83
2004,Denmark,DNK,Europe,53.2,5.3,10.12,1.45,14.29,37.23,23.75,9.86,7.08,0.55,2.02,5.22,14.87,75.27,16.94,5.0585,0.6014,24.73
2005,Denmark,DNK,Europe,52.3,5.3,9.86,1.32,12.74,39.4,25.04,9.84,3.41,1.54,2.88,5.16,12.99,77.18,13.25,5.9369,0.5086,22.83
2006,Denmark,DNK,Europe,52.3,5.3,9.8,1.22,13.94,39.16,25.22,9.48,4.56,0.38,2.06,5.2,12.21,78.31,14.04,6.4083,0.5525,21.69
2007,Denmark,DNK,Europe,51.8,5.4,9.62,1.13,13.9,38.04,23.93,8.49,4.75,2.94,2.45,5.49,15.64,75.88,13.24,4.8486,0.5806,24.13
